Stkcd,Trdmnt,Opndt,Mopnprc,Clsdt,Mclsprc,Ndaytrd,Mretwd,Mretwd_scaled
600000,22-Jul,1,8.01,29,7.26,21,-0.042936,-0.434037
600000,22-Aug,1,7.26,31,7.27,23,0.001377,0.256568
600000,22-Sep,1,7.23,30,7.04,21,-0.031637,0.544265
600000,22-Oct,10,7.04,31,6.64,16,-0.056818,-0.580677
600000,22-Nov,1,6.68,30,7.22,22,0.087349,-0.014175
600000,22-Dec,1,7.28,30,7.28,22,0.00831,0.495998
600000,23-Jan,3,7.27,31,7.37,16,0.012363,-0.673923
600000,23-Feb,1,7.4,28,7.18,20,-0.02578,-0.785514
600000,23-Mar,1,7.17,31,7.19,23,0.001393,0.175381
600000,23-Apr,3,7.19,28,7.6,19,0.057024,0.516816
600000,23-May,4,7.48,31,7.35,20,-0.032895,-0.217839
600000,23-Jun,1,7.33,30,7.24,20,-0.014966,-0.43509
600000,23-Jul,3,7.25,31,7.6,21,0.096902,0.670085
600000,23-Aug,1,7.58,31,6.98,23,-0.081579,-0.392881
600000,23-Sep,1,6.99,28,7.1,20,0.017192,0.22143
600000,23-Oct,9,7.08,31,6.82,17,-0.039437,-0.222339
600000,23-Nov,1,6.83,30,6.85,22,0.004399,-0.280459
600000,23-Dec,1,6.85,29,6.62,21,-0.033577,-0.172216
600000,24-Jan,2,6.63,31,6.83,22,0.031722,1.292864
600000,24-Feb,1,6.83,29,7.15,15,0.046852,-0.102714
600000,24-Mar,1,7.13,29,7.13,21,-0.002797,-0.325974
600000,24-Apr,1,7.15,30,7.7,20,0.079944,0.860531
600000,24-May,6,7.82,31,8.34,20,0.083117,1.187109
600000,24-Jun,3,8.3,28,8.23,19,-0.013189,0.886665
600000,24-Jul,1,8.22,31,8.4,23,0.058014,0.366188
600000,24-Aug,1,8.4,30,8.43,22,0.003571,0.653251
600000,24-Sep,2,8.37,30,10.13,19,0.201661,-0.13052
600000,24-Oct,8,10.88,31,9.84,18,-0.028628,-0.414782
600000,24-Nov,1,9.86,29,9.46,21,-0.038618,-0.472635
600000,24-Dec,2,9.45,31,10.29,22,0.087738,1.109117
600004,20-Jan,2,17.56,23,15.34,16,-0.120917,-1.061169
600004,20-Feb,3,13.81,28,15.48,20,0.009126,0.220385
600004,20-Mar,2,15.38,31,12.55,22,-0.189276,-1.26639
600004,20-Apr,1,12.52,30,15.8,21,0.258964,1.992016
600004,20-May,6,15.47,29,16.35,18,0.03481,0.029283
600004,20-Jun,1,16.44,30,15.24,20,-0.06789,-1.047689
600004,20-Jul,1,15.3,31,14.2,23,-0.068241,-1.131356
600004,20-Aug,3,14.26,31,15.22,21,0.082822,0.418504
600004,20-Sep,1,15.22,30,13.61,22,-0.105782,-0.38846
600004,20-Oct,9,13.72,30,12.55,16,-0.077884,-0.884402
600004,20-Nov,2,12.49,30,15.03,21,0.19761,1.404294
600004,20-Dec,1,14.99,31,14.13,23,-0.05988,-0.337063
600004,21-Jan,4,14.1,29,13.79,20,-0.024062,0.217472
600004,21-Feb,1,13.2,26,13.18,15,-0.044235,-0.75715
600004,21-Mar,1,13.27,31,13.34,23,0.012139,-0.083593
600004,21-Apr,1,13.39,30,12.16,21,-0.088456,-0.837767
600004,21-May,6,12.11,31,11.59,18,-0.046875,-0.852546
600004,21-Jun,1,11.57,30,11.18,21,-0.035375,-0.437349
600004,21-Jul,1,11.22,30,8.75,22,-0.217352,-1.295297
600004,21-Aug,2,8.65,31,9.44,22,0.084078,0.04483
600004,21-Sep,1,9.41,30,10.74,20,0.137712,1.04568
600004,21-Oct,8,11,29,11.84,16,0.102421,1.220496
600004,21-Nov,1,11.7,30,10.7,22,-0.096284,-1.127703
600004,21-Dec,1,10.67,31,12.06,23,0.127103,0.685765
600004,22-Jan,4,12.04,28,13.68,19,0.134328,2.322348
600004,22-Feb,7,13.68,28,12.56,16,-0.081871,-1.369698
600004,22-Mar,1,12.52,31,12.25,23,-0.024682,0.097676
600004,22-Apr,1,12.13,29,11.96,19,-0.023673,0.755391
600004,22-May,5,11.85,31,12.69,19,0.061037,-0.398646
600004,22-Jun,1,12.74,30,14.91,21,0.174941,0.937375
600004,22-Jul,1,14.71,29,12.95,21,-0.131455,-1.114978
600004,22-Aug,1,12.95,31,13.51,23,0.043243,0.699684
600004,22-Sep,1,13.58,30,14.26,21,0.055514,1.633785
600004,22-Oct,10,14.21,31,13.94,16,-0.02244,-0.303225
600004,22-Nov,1,13.84,30,14.54,22,0.043042,-0.420943
600004,22-Dec,1,15.1,30,15.01,22,0.032325,0.776205
600004,23-Jan,3,14.99,31,13.97,16,-0.069287,-1.674648
600004,23-Feb,1,14.04,28,14.27,20,0.021475,-0.176283
600004,23-Mar,1,14.25,31,15.63,23,0.095305,1.032787
600004,23-Apr,3,15.61,28,15.68,19,0.003199,0.076901
600004,23-May,4,15.69,31,14.2,20,-0.094388,-0.866967
600004,23-Jun,1,14.12,30,14.34,20,0.009859,-0.167968
600004,23-Jul,3,14.34,31,14.38,21,0.002789,-0.290688
600004,23-Aug,1,14.46,31,11.79,23,-0.180111,-1.570595
600004,23-Sep,1,11.81,28,11.2,20,-0.050042,-0.687437
600004,23-Oct,9,11.17,31,10.59,17,-0.054464,-0.353883
600004,23-Nov,1,10.6,30,11.03,22,0.041549,0.136184
600004,23-Dec,1,11.04,29,9.78,21,-0.113327,-1.195953
600004,24-Jan,2,9.78,31,9.41,22,-0.037832,0.746351
600004,24-Feb,1,9.38,29,10.13,15,0.076514,0.174196
600004,24-Mar,1,10.12,29,10.08,21,-0.004936,-0.34359
600004,24-Apr,1,10.09,30,10.35,20,0.026786,0.27101
600004,24-May,6,10.43,31,10.14,20,-0.02029,-0.149373
600004,24-Jun,3,10.14,28,9.48,19,-0.065089,0.223517
600004,24-Jul,1,9.49,31,9.63,23,0.015823,0.037818
600004,24-Aug,1,9.62,30,9.13,22,-0.044372,-0.020492
600004,24-Sep,2,9.02,30,10.46,19,0.145674,-0.662932
600004,24-Oct,8,11.48,31,9.68,18,-0.07457,-0.698742
600004,24-Nov,1,9.65,29,9.72,21,0.004132,-0.216985
600004,24-Dec,2,9.72,31,9.6,22,-0.012346,0.180174
600007,20-Jan,2,17.62,23,15.71,16,-0.102286,-0.906271
600007,20-Feb,3,14.28,28,14.16,20,-0.098663,-0.691056
600007,20-Mar,2,14.24,31,13.2,22,-0.067797,-0.294897
600007,20-Apr,1,13.17,30,14.54,21,0.101515,0.584674
600007,20-May,6,14.44,29,13.23,18,-0.090096,-1.017144
600007,20-Jun,1,13.26,30,13.33,20,0.007559,-0.449157
600007,20-Jul,1,13.37,31,13.25,23,0.020029,-0.627969
600007,20-Aug,3,13.18,31,14.55,21,0.098113,0.540094
600007,20-Sep,1,14.43,30,13.1,22,-0.099656,-0.309539
600007,20-Oct,9,13.27,30,12.31,16,-0.060305,-0.663347
600007,20-Nov,2,12.33,30,13,21,0.056052,0.080381
600007,20-Dec,1,13,31,12.45,23,-0.042308,-0.216999
600007,21-Jan,4,12.45,29,11.89,20,-0.04498,0.052263
600007,21-Feb,1,11.85,26,11.93,15,0.003364,-0.285805
600007,21-Mar,1,11.94,31,12.04,23,0.00922,-0.109351
600007,21-Apr,1,12.09,30,13.94,21,0.157807,1.326538
600007,21-May,6,13.52,31,22.2,18,0.592539,4.110097
600007,21-Jun,1,21.91,30,17.96,21,-0.173519,-1.591811
600007,21-Jul,1,17.78,30,15.22,22,-0.152561,-0.88824
600007,21-Aug,2,15.15,31,18.01,22,0.183311,0.666059
600007,21-Sep,1,18.3,30,14.67,20,-0.185453,-1.392988
600007,21-Oct,8,14.8,29,13.58,16,-0.074301,-0.486677
600007,21-Nov,1,13.58,30,14.34,22,0.055965,-0.122476
600007,21-Dec,1,14.29,31,14.4,23,0.004184,-0.339737
600007,22-Jan,4,14.4,28,13.67,19,-0.050695,0.351184
600007,22-Feb,7,13.79,28,14.12,16,0.032919,-0.16596
600007,22-Mar,1,14.14,31,16.2,23,0.147309,1.218139
600007,22-Apr,1,15.74,29,14.26,19,-0.119753,-0.046816
600007,22-May,5,14.24,31,14.79,19,0.037167,-0.620072
600007,22-Jun,1,14.7,30,14.75,21,0.041652,-0.205252
600007,22-Jul,1,14.76,29,14.42,21,-0.022373,-0.275854
600007,22-Aug,1,14.38,31,14.95,23,0.036754,0.631004
600007,22-Sep,1,15,30,13.69,21,-0.084281,-0.113865
600007,22-Oct,10,13.67,31,13.59,16,-0.007305,-0.181076
600007,22-Nov,1,13.64,30,16.8,22,0.236203,1.352405
600007,22-Dec,1,16.68,30,15.83,22,-0.057738,-0.27465
600007,23-Jan,3,15.75,31,16.99,16,0.073279,0.072681
600007,23-Feb,1,17,28,17.79,20,0.047087,0.153917
600007,23-Mar,1,17.77,31,17.04,23,-0.042159,-0.222243
600007,23-Apr,3,16.93,28,18.54,19,0.088028,0.770213
600007,23-May,4,18.74,31,19.07,20,0.028587,0.431173
600007,23-Jun,1,19.11,30,18.52,20,0.007806,-0.190059
600007,23-Jul,3,18.55,31,20.28,21,0.095032,0.650995
600007,23-Aug,1,20.28,31,19.21,23,-0.052761,-0.048431
600007,23-Sep,1,19.37,28,19.37,20,0.008329,0.10162
600007,23-Oct,9,19.35,31,19.83,17,0.023748,0.330771
600007,23-Nov,1,19.83,30,20.37,22,0.027231,-0.024395
600007,23-Dec,1,20.41,29,19.38,21,-0.048601,-0.365077
600007,24-Jan,2,19.36,31,17.16,22,-0.114551,0.143541
600007,24-Feb,1,17.09,29,19.14,15,0.115385,0.537077
600007,24-Mar,1,19.1,29,24.19,21,0.263845,1.869924
600007,24-Apr,1,24.29,30,23.29,20,-0.037205,-0.438649
600007,24-May,6,23.58,31,24.42,20,0.048519,0.739948
600007,24-Jun,3,24.4,28,21.96,19,-0.048102,0.440567
600007,24-Jul,1,21.86,31,21.38,23,-0.026412,-0.290896
600007,24-Aug,1,21.42,30,21.51,22,0.00608,0.68851
600007,24-Sep,2,21.47,30,27.59,19,0.282659,0.639736
600007,24-Oct,8,29.81,31,22.92,18,-0.169264,-1.28403
600007,24-Nov,1,22.95,29,22.46,21,-0.02007,-0.361716
600007,24-Dec,2,22.58,31,24.46,22,0.089047,1.121267
600010,20-Jan,2,1.33,23,1.25,16,-0.05303,-0.496758
600010,20-Feb,3,1.13,28,1.17,20,-0.064,-0.397953
600010,20-Mar,2,1.17,31,1.15,22,-0.017094,0.110585
600010,20-Apr,1,1.15,30,1.08,21,-0.06087,-0.866787
600010,20-May,6,1.06,29,1.1,18,0.018518,-0.107207
600010,20-Jun,1,1.1,30,1.08,20,-0.018182,-0.653359
600010,20-Jul,1,1.08,31,1.17,23,0.083333,-0.266958
600010,20-Aug,3,1.17,31,1.16,21,-0.008547,-0.30804
600010,20-Sep,1,1.16,30,1.15,22,-0.008621,0.863259
600010,20-Oct,9,1.16,30,1.14,16,-0.008696,-0.014367
600010,20-Nov,2,1.14,30,1.21,21,0.061404,0.130435
600010,20-Dec,1,1.21,31,1.17,23,-0.033058,-0.153797
600010,21-Jan,4,1.17,29,1.15,20,-0.017094,0.272505
600010,21-Feb,1,1.15,26,1.54,15,0.339131,3.039099
600010,21-Mar,1,1.53,31,1.56,23,0.012987,-0.07611
600010,21-Apr,1,1.56,30,1.47,21,-0.057692,-0.567394
600010,21-May,6,1.48,31,1.64,18,0.115646,0.408817
600010,21-Jun,1,1.62,30,1.55,21,-0.054878,-0.600335
600010,21-Jul,1,1.55,30,2.85,22,0.83871,5.339545
600010,21-Aug,2,2.8,31,3.76,22,0.319298,1.517379
600010,21-Sep,1,4.14,30,3.17,20,-0.156915,-1.177635
600010,21-Oct,8,3.25,29,2.81,16,-0.113565,-0.865976
600010,21-Nov,1,2.8,30,2.89,22,0.02847,-0.304013
600010,21-Dec,1,2.87,31,2.79,23,-0.034602,-0.663326
600010,22-Jan,4,2.8,28,2.34,19,-0.16129,-0.827052
600010,22-Feb,7,2.38,28,2.68,16,0.145299,1.012506
600010,22-Mar,1,2.68,31,2.23,23,-0.16791,-0.835406
600010,22-Apr,1,2.22,29,1.88,19,-0.156951,-0.357396
600010,22-May,5,1.86,31,2.01,19,0.069149,-0.323396
600010,22-Jun,1,2.01,30,2.35,21,0.178526,0.968107
600010,22-Jul,1,2.33,29,2.26,21,-0.038298,-0.398359
600010,22-Aug,1,2.23,31,2.01,23,-0.110619,-0.928816
600010,22-Sep,1,2,30,1.84,21,-0.084577,-0.117565
600010,22-Oct,10,1.85,31,1.76,16,-0.043478,-0.473015
600010,22-Nov,1,1.76,30,1.99,22,0.130682,0.383651
600010,22-Dec,1,2,30,1.92,22,-0.035176,-0.011397
600010,23-Jan,3,1.92,31,2.04,16,0.0625,-0.059429
600010,23-Feb,1,2.04,28,2.05,20,0.004902,-0.389949
600010,23-Mar,1,2.06,31,1.89,23,-0.078049,-0.549915
600010,23-Apr,3,1.89,28,1.82,19,-0.037037,-0.25195
600010,23-May,4,1.81,31,1.83,20,0.005495,0.187411
600010,23-Jun,1,1.82,30,1.79,20,-0.021858,-0.509249
600010,23-Jul,3,1.8,31,1.89,21,0.055866,0.25116
600010,23-Aug,1,1.89,31,1.79,23,-0.05291,-0.050212
600010,23-Sep,1,1.79,28,1.72,20,-0.039106,-0.539604
600010,23-Oct,9,1.72,31,1.62,17,-0.05814,-0.386062
600010,23-Nov,1,1.63,30,1.53,22,-0.055556,-0.952863
600010,23-Dec,1,1.53,29,1.46,21,-0.045752,-0.328504
600010,24-Jan,2,1.47,31,1.42,22,-0.027397,0.828343
600010,24-Feb,1,1.41,29,1.54,15,0.084507,0.248815
600010,24-Mar,1,1.54,29,1.6,21,0.038961,0.017919
600010,24-Apr,1,1.6,30,1.6,20,0,-0.026047
600010,24-May,6,1.61,31,1.54,20,-0.0375,-0.371804
600010,24-Jun,3,1.54,28,1.4,19,-0.090909,-0.106395
600010,24-Jul,1,1.42,31,1.46,23,0.042857,0.248222
600010,24-Aug,1,1.45,30,1.44,22,-0.013699,0.410556
600010,24-Sep,2,1.44,30,1.73,19,0.201389,-0.133107
600010,24-Oct,8,1.9,31,1.71,18,-0.011561,-0.309294
600010,24-Nov,1,1.72,29,1.92,21,0.122807,0.492705
600010,24-Dec,2,1.91,31,1.86,22,-0.03125,0.004714
600011,20-Jan,2,5.61,23,5.41,16,-0.030466,-0.309162
600011,20-Feb,3,4.87,28,4.7,20,-0.131238,-0.966504
600011,20-Mar,2,4.7,31,4.69,22,-0.002128,0.230272
600011,20-Apr,1,4.6,30,4.22,21,-0.100213,-1.21845
600011,20-May,6,4.16,29,4.33,18,0.026066,-0.043972
600011,20-Jun,1,4.33,30,4.22,20,-0.025404,-0.710651
600011,20-Jul,1,4.21,31,4.69,23,0.143709,0.077355
600011,20-Aug,3,4.7,31,5.51,21,0.17484,1.150207
600011,20-Sep,1,5.53,30,5.41,22,-0.018149,0.74051
600011,20-Oct,9,5.41,30,4.88,16,-0.097967,-1.136945
600011,20-Nov,2,4.88,30,5.14,21,0.053279,0.054447
600011,20-Dec,1,5.13,31,4.48,23,-0.128405,-0.805272
600011,21-Jan,4,4.5,29,4.17,20,-0.069196,-0.138994
600011,21-Feb,1,4.17,26,4.03,15,-0.033573,-0.651571
600011,21-Mar,1,4.05,31,4.41,23,0.094293,0.641353
600011,21-Apr,1,4.37,30,4.22,21,-0.043084,-0.439011
600011,21-May,6,4.25,31,4.21,18,-0.00237,-0.507133
600011,21-Jun,1,4.21,30,4.22,21,0.002375,-0.121874
600011,21-Jul,1,4.21,30,3.83,22,-0.05188,-0.255699
600011,21-Aug,2,3.83,31,5.55,22,0.449086,2.329892
600011,21-Sep,1,5.75,30,8.27,20,0.49009,3.704796
600011,21-Oct,8,8.1,29,7.71,16,-0.067715,-0.423055
600011,21-Nov,1,7.48,30,6.21,22,-0.194553,-1.776526
600011,21-Dec,1,6.31,31,9.69,23,0.560386,4.300606
600011,22-Jan,4,9.92,28,7.4,19,-0.236326,-1.626456
600011,22-Feb,7,7.62,28,8.77,16,0.185135,1.430244
600011,22-Mar,1,8.7,31,6.91,23,-0.212087,-1.123204
600011,22-Apr,1,6.84,29,7.3,19,0.05644,1.424284
600011,22-May,5,7.25,31,7.39,19,0.012329,-0.850477
600011,22-Jun,1,7.28,30,7.04,21,-0.047361,-0.968321
600011,22-Jul,1,7.11,29,7.02,21,-0.002841,-0.125602
600011,22-Aug,1,7,31,8.18,23,0.165242,1.990942
600011,22-Sep,1,8.08,30,7.59,21,-0.072127,0.038079
600011,22-Oct,10,7.56,31,6.7,16,-0.11726,-1.068483
600011,22-Nov,1,6.7,30,7.75,22,0.156716,0.622661
600011,22-Dec,1,7.7,30,7.61,22,-0.018065,0.188254
600011,23-Jan,3,7.7,31,7.48,16,-0.017083,-1.034821
600011,23-Feb,1,7.42,28,8.17,20,0.092246,0.736125
600011,23-Mar,1,8.2,31,8.57,23,0.04896,0.609663
600011,23-Apr,3,8.56,28,9.7,19,0.131855,1.128414
600011,23-May,4,9.66,31,10.18,20,0.049484,0.651765
600011,23-Jun,1,10.19,30,9.26,20,-0.090373,-1.246482
600011,23-Jul,3,9.28,31,8.6,21,-0.071274,-1.046777
600011,23-Aug,1,8.6,31,8.15,23,-0.052326,-0.043231
600011,23-Sep,1,8.09,28,7.87,20,-0.034356,-0.475394
600011,23-Oct,9,7.87,31,7.61,17,-0.033037,-0.166315
600011,23-Nov,1,7.63,30,7.71,22,0.013141,-0.182416
600011,23-Dec,1,7.72,29,7.7,21,-0.001297,0.242157
600011,24-Jan,2,7.66,31,8.76,22,0.137662,2.125275
600011,24-Feb,1,8.68,29,8.82,15,0.006849,-0.476163
600011,24-Mar,1,8.81,29,9.38,21,0.063492,0.219941
600011,24-Apr,1,9.37,30,9.36,20,-0.002132,-0.04969
600011,24-May,6,9.33,31,8.96,20,-0.042735,-0.439463
600011,24-Jun,3,8.99,28,9.62,19,0.073661,1.996384
600011,24-Jul,1,9.63,31,7.95,23,-0.155171,-1.293022
600011,24-Aug,1,7.85,30,6.94,22,-0.127044,-1.182282
600011,24-Sep,2,6.93,30,7.71,19,0.110951,-0.993133
600011,24-Oct,8,8.45,31,7.26,18,-0.058366,-0.598588
600011,24-Nov,1,7.26,29,6.97,21,-0.039945,-0.480571
600011,24-Dec,2,6.94,31,6.77,22,-0.028694,0.028438
600015,20-Jan,2,7.72,23,7.4,16,-0.035202,-0.348537
600015,20-Feb,3,6.81,28,6.95,20,-0.060811,-0.370988
600015,20-Mar,2,6.99,31,6.47,22,-0.069065,-0.305038
600015,20-Apr,1,6.49,30,6.56,21,0.01391,-0.198374
600015,20-May,6,6.5,29,6.37,18,-0.028963,-0.504989
600015,20-Jun,1,6.37,30,6.12,20,-0.000221,-0.510876
600015,20-Jul,1,6.12,31,6.36,23,0.039216,-0.518549
600015,20-Aug,3,6.39,31,6.43,21,0.011006,-0.152559
600015,20-Sep,1,6.4,30,6.13,22,-0.046656,0.373256
600015,20-Oct,9,6.16,30,6.06,16,-0.011419,-0.048608
600015,20-Nov,2,6.09,30,6.53,21,0.077558,0.281515
600015,20-Dec,1,6.5,31,6.25,23,-0.042879,-0.220901
600015,21-Jan,4,6.22,29,6.1,20,-0.024,0.217962
600015,21-Feb,1,6.1,26,6.24,15,0.022951,-0.091847
600015,21-Mar,1,6.26,31,6.44,23,0.032051,0.092115
600015,21-Apr,1,6.43,30,6.24,21,-0.031056,-0.333302
600015,21-May,6,6.23,31,6.43,18,0.030449,-0.252417
600015,21-Jun,1,6.4,30,6.19,21,-0.037325,-0.453645
600015,21-Jul,1,6.19,30,5.48,22,-0.068916,-0.362729
600015,21-Aug,2,5.47,31,5.6,22,0.021898,-0.344436
600015,21-Sep,1,5.6,30,5.57,20,-0.005357,-0.033947
600015,21-Oct,8,5.6,29,5.63,16,0.010772,0.335147
600015,21-Nov,1,5.61,30,5.64,22,0.001776,-0.48026
600015,21-Dec,1,5.63,31,5.6,23,-0.007092,-0.433812
600015,22-Jan,4,5.6,28,5.63,19,0.005357,0.948341
600015,22-Feb,7,5.67,28,5.63,16,0,-0.511163
600015,22-Mar,1,5.63,31,5.56,23,-0.012433,0.177474
600015,22-Apr,1,5.53,29,5.45,19,-0.019784,0.787862
600015,22-May,5,5.44,31,5.32,19,-0.023853,-1.186114
600015,22-Jun,1,5.33,30,5.21,21,0.04487,-0.177666
600015,22-Jul,1,5.21,29,5.12,21,-0.017275,-0.236637
600015,22-Aug,1,5.12,31,5.14,23,0.003906,0.283335
600015,22-Sep,1,5.16,30,5.03,21,-0.021401,0.672231
600015,22-Oct,10,5.02,31,4.79,16,-0.047714,-0.507202
600015,22-Nov,1,4.79,30,5.24,22,0.093946,0.04639
600015,22-Dec,1,5.27,30,5.19,22,-0.009542,0.287701
600015,23-Jan,3,5.2,31,5.21,16,0.003854,-0.778211
600015,23-Feb,1,5.22,28,5.22,20,0.001919,-0.428407
600015,23-Mar,1,5.21,31,5.38,23,0.030651,0.442504
600015,23-Apr,3,5.4,28,5.76,19,0.070632,0.628035
600015,23-May,4,5.73,31,5.78,20,0.003472,0.166056
600015,23-Jun,1,5.77,30,5.41,20,0.002618,-0.245883
600015,23-Jul,3,5.42,31,5.8,21,0.072089,0.416776
600015,23-Aug,1,5.8,31,5.54,23,-0.044828,0.046389
600015,23-Sep,1,5.55,28,5.72,20,0.032491,0.428241
600015,23-Oct,9,5.69,31,5.6,17,-0.020979,-0.060761
600015,23-Nov,1,5.61,30,5.8,22,0.035714,0.070744
600015,23-Dec,1,5.81,29,5.62,21,-0.031034,-0.139572
600015,24-Jan,2,5.63,31,6.06,22,0.078292,1.658782
600015,24-Feb,1,6.04,29,6.34,15,0.046205,-0.108755
600015,24-Mar,1,6.32,29,6.48,21,0.022082,-0.121086
600015,24-Apr,1,6.49,30,6.71,20,0.035494,0.367581
600015,24-May,6,6.77,31,6.89,20,0.026826,0.459577
600015,24-Jun,3,6.89,28,6.4,19,-0.01368,0.880392
600015,24-Jul,1,6.41,31,6.28,23,-0.01875,-0.231263
600015,24-Aug,1,6.29,30,6.02,22,-0.041401,0.02126
600015,24-Sep,2,6.13,30,7.43,19,0.234219,0.179092
600015,24-Oct,8,8.15,31,7.07,18,-0.048452,-0.537311
600015,24-Nov,1,7.1,29,7.57,21,0.070721,0.181225
600015,24-Dec,2,7.59,31,8.01,22,0.058124,0.834251
600016,20-Jan,2,6.36,23,6.08,16,-0.03645,-0.358913
600016,20-Feb,3,5.57,28,5.72,20,-0.059211,-0.357459
600016,20-Mar,2,5.74,31,5.71,22,-0.001748,0.23331
600016,20-Apr,1,5.7,30,5.89,21,0.031524,-0.040933
600016,20-May,6,5.8,29,5.69,18,-0.033956,-0.546819
600016,20-Jun,1,5.72,30,5.67,20,-0.003515,-0.537007
600016,20-Jul,1,5.68,31,5.54,23,0.038869,-0.520528
600016,20-Aug,3,5.56,31,5.55,21,0.001805,-0.225723
600016,20-Sep,1,5.53,30,5.3,22,-0.045045,0.394011
600016,20-Oct,9,5.3,30,5.28,16,-0.003774,0.047527
600016,20-Nov,2,5.2,30,5.3,21,0.003788,-0.408415
600016,20-Dec,1,5.29,31,5.2,23,-0.018868,-0.056841
600016,21-Jan,4,5.21,29,5.11,20,-0.017308,0.270815
600016,21-Feb,1,5.11,26,5.18,15,0.013699,-0.183464
600016,21-Mar,1,5.2,31,5.05,23,-0.025097,-0.412172
600016,21-Apr,1,5.03,30,4.7,21,-0.069307,-0.669474
600016,21-May,6,4.7,31,4.72,18,0.004255,-0.455714
600016,21-Jun,1,4.72,30,4.41,21,-0.020856,-0.316015
600016,21-Jul,1,4.42,30,3.98,22,-0.097506,-0.54235
600016,21-Aug,2,3.98,31,3.97,22,-0.002513,-0.497257
600016,21-Sep,1,3.97,30,3.91,20,-0.015113,-0.107568
600016,21-Oct,8,3.93,29,3.89,16,-0.005115,0.181675
600016,21-Nov,1,3.89,30,3.89,22,0,-0.491986
600016,21-Dec,1,3.89,31,3.9,23,0.002571,-0.353195
600016,22-Jan,4,3.9,28,3.88,19,-0.005128,0.836637
600016,22-Feb,7,3.9,28,3.91,16,0.007732,-0.430082
600016,22-Mar,1,3.91,31,3.82,23,-0.023018,0.108516
600016,22-Apr,1,3.81,29,3.7,19,-0.031414,0.690759
600016,22-May,5,3.68,31,3.81,19,0.02973,-0.68906
600016,22-Jun,1,3.8,30,3.72,21,0.032585,-0.28298
600016,22-Jul,1,3.72,29,3.64,21,-0.021505,-0.269177
600016,22-Aug,1,3.63,31,3.6,23,-0.010989,0.125684
600016,22-Sep,1,3.61,30,3.39,21,-0.058333,0.210525
600016,22-Oct,10,3.39,31,3.3,16,-0.026549,-0.336387
600016,22-Nov,1,3.3,30,3.52,22,0.066667,-0.20405
600016,22-Dec,1,3.54,30,3.45,22,-0.019886,0.167007
600016,23-Jan,3,3.46,31,3.49,16,0.011594,-0.683348
600016,23-Feb,1,3.49,28,3.41,20,-0.022923,-0.748681
600016,23-Mar,1,3.41,31,3.45,23,0.01173,0.269757
600016,23-Apr,3,3.45,28,3.63,19,0.052174,0.477176
600016,23-May,4,3.66,31,3.96,20,0.090909,1.089053
600016,23-Jun,1,3.94,30,3.75,20,0.002188,-0.25051
600016,23-Jul,3,3.75,31,4.02,21,0.072,0.415868
600016,23-Aug,1,4.02,31,3.78,23,-0.059701,-0.131382
600016,23-Sep,1,3.79,28,3.84,20,0.015873,0.2036
600016,23-Oct,9,3.8,31,3.72,17,-0.03125,-0.150672
600016,23-Nov,1,3.73,30,3.85,22,0.034946,0.06213
600016,23-Dec,1,3.85,29,3.74,21,-0.028571,-0.107955
600016,24-Jan,2,3.74,31,3.95,22,0.05615,1.484804
